query,phone_number,website,score
"ARPENTAGE DETECTION RESEAUX 15 RUE ANTARES
CARQUEFOU 44470",02 44 84 97 98,adre-reseaux.fr,0
"INNOV'EDUC 2 QUAI FRANCOIS MITTERRAND
NANTES 44000",Aucun résultat,Aucun site,26
"BEP INGENIERIE 10 RUE DE LA JOHARDIERE
SAINT-HERBLAIN 44800",Aucun résultat,Aucun site,41
"CARE TECHNOLOGY CONSULTING 2 RUE WALDECK ROUSSEAU
COUERON 44220",02 28 25 06 64,caretechnologyconsulting.com,0
"BOSSER EXPERTISE 26 BOULEVARD VINCENT GACHE
NANTES 44200",Aucun résultat,Aucun site,36
"ASCENT INTEGRATION CENTRE D'AFFAIRES ICARE BATIMENT D
MONTOIR-DE-BRETAGNE 44550",Numéro non trouvé,Site non trouvé,0
"CAB FORMATIONS 144 RUE PAUL BELLAMY
NANTES 44024",02 49 09 24 90,le144-coworking.fr,0
"PWC SERVICES 16 RUE LAMORICIERE
NANTES 44000",02 40 73 94 42,pkf-arsilon.com,0
"CAPTEN CONSULTING 4 RUE EDITH PIAF
SAINT-HERBLAIN 44800",Numéro non trouvé,capten-group.com,0
"FORTIL OUEST 11 RUE DU CHEMIN ROUGE
NANTES 44300",09 67 32 03 57,Site non trouvé,0
"TOUCHE PAS A LA PAYE 8 BOULEVARD DU ZENITH
SAINT-HERBLAIN 44800",02 52 59 74 74,tplpaye.fr,0
"TOUCHE PAS A LA PAYE 1 RUE ALPHONSE DAUDET
GUERANDE 44350",Erreur numéro,Erreur site,0
"VALORISSIMO 22 MAIL PABLO PICASSO
NANTES 44000",Aucun résultat,Aucun site,35
"ATSI 9 BIS BOULEVARD EMILE ROMANET
NANTES 44100",07 72 45 59 93,atsi-pi.com,0
